,Sentiment,reviewBody
1968,0,"Horrible customer service!!!!!!!!!!!!! South Shore Plaza aka Braintree Mall Target is one of the worst I have ever been to. I went to pick up an online huggies pamper order that was placed a day prior and it still wasnt ready. The customer service person who helped me kept replying ""Sorry not sure what happened theres nothing I can do, do you just want to cancel the order"" instead of finding out where the pampers were. When I asked for a manager she informed me they were all busy. I def will not be visiting that store again."
1037,0,"The worst service ever. They cancel items and never tell you.  How is it possible that I buy pajamas for Christmas and they cancel one on December 23rd and the next one arrives on December 31st, this seems like a joke. 👎👎👎👎"
1593,0,"Target thank you sooo much for not being intimidated by this fake outcry. The Honey Pot commercial is indicative of black women wanting to carry the torch for the next generation of black girls who have not always had the opportunity to excel as entrepreneurs. The commercial is inspirational and will help to broaden Target’s appeal to the next generation of shoppers. If you lose some customers because of the Honey Pot ad, just put some bedding on sale and they’ll come running back."
503,0,The service was really helpful. But the issue shouldn't have happened in the first place...
311,0,"I made a return on December 27 and we are on January 11 and they only returned the money for one item. I made the claim in the store and I have been waiting for more than an hour for them to call the corporation to do something about it, this is a lack of respect in addition to being online for 30 minutes because there is no staff to attend."
39,0,"I ordered a gift card off the wedding registry on June 16. It was ""shipped"" but has yet to arrive. Every other day the arrival date gets pushed back further and further. The wedding and honeymoon have come and gone. Now it's saying delivery date is July 12. I chatted with someone, they told me call someone else and ended the call. It's ridiculous. Never again!"
2468,0,"30 MINUTES ???? That's all you getThat's all you get. Realize you made a mistake or change your mind at 31 mins, to bad.I sent the item to the wrong address. 3 different orders. One was sent to the wrong address.  I was told I have to wait for a tracking number.  Then TRY to get the address changed with the delivery service.  2 tracking numbers were emailed to me.  I'm still waiting for the one I need. It's been two days. It was the first one I ordered. Online customer service says there is nothing they can do.REALLY!  Go into your system change the address! It can be done. REALLY, 30 mins! I called less then one hour after I placed the order! Target needs to remember who is paying their bills.UPDATE.........I received a tracking number Monday evening.I called FEDEX.  They said a change of address needs to be done through the seller. I explained to them that the seller gives a 1-800 # for the delivery service and told me it has to go through the delivery service. Long story short. FEDEX ROCKS!!!!!!!THANK YOU FEDEX, Kimberly and Wilmer. The package will arrive at the right address and on the original date."
2252,0,"Target- McKinney, Texas-  Not only are Target prices higher than just about any place else, they are constantly out of items.  Common sense would tell you if you sell out of something all the time, ORDER MORE OF IT.  How hard is that to figure out?  Hate this store and that's the kindest thing I can say about it.  Check out lines are ridiculous. 5 people deep, only 2 registers open.  Doesn't management see this?  Employees just don't give a crap about anything.  Was out of Tully's Hawaiian coffee K-Cups AGAIN, employee checked to see if any more in the back.  Said they had 4 boxes coming in a few days, like I'm supposed to go home empty handed and then make ANOTHER trip back. 4 boxes?  Cripes, maybe I should camp out in the parking lot waiting for them.  They just don't care about anything, least of all the customer."
2607,0,"The last three orders I placed with target.com had issues.  On one order I ordered jumbo marshmallows & received regular marshmallows.  Of course they were cheaper & when I tried to return them to the store they refused to give me what I paid for the jumbo marshmallows until I requested a manager assistance.  Once the manager completed the transaction he promptly told me that the next time I had an issue with target.com I need to deal directly with them.  Again, I placed another order over $35 dollars but the free shipping did not automatically come up on my order.  It took 45 minutes & three online representatives to credit $5.99 shipping.  Yes, I was not done with target yet.  Sure we all have problems.  I placed another order with target.com 12 days later & I never received my order.  I initiated a chat again with an online representative & they could only refund my money because the items were able to be returned at the store.  What did they not understand I never received my order.  All they offered was order cancelation & I would have to place another order.  Wow, what a waste of time."
390,0,"I ordered liquid sanitizing detergent online. I kept forgetting to pick it up, but I received an email stating my order was picked up. I became concerned, because the only person who could've picked it up was myself. I was livid and immediately went to target on Cobb Pkwy in Smyrna Georgia.  I wish I had gotten this young man's name, because  he has outstanding people skills!!! His customer service is amazing and was through the roof. He's an asset to Target. It's hard to come in for customer service and find people who are willing to assist a customer and be pleasant while doing this. I tip my hat to him."
